carrier,plan_name,monthly_fee,perceived_price,total_benefit,monthly_benefit,benefit_duration,benefit_detail,collected_date,crawled_at
SKT,다이렉트 플랜,76000,76000,0,0,0,,2026-07-24,2026-07-24T04:15:51.911129
SKT,5GB,38000,38000,0,0,0,,2026-07-24,2026-07-24T04:15:51.911682
SKT,다이렉트5G,69000,69000,0,0,0,,2026-07-24,2026-07-24T04:15:51.912198
KT,요고 40,34000,31667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-24,2026-07-24T04:15:53.221567
KT,요고 44,44000,41667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-24,2026-07-24T04:15:53.223152
KT,요고 49,49000,46667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-24,2026-07-24T04:15:53.224722
KT,요고 55,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-24,2026-07-24T04:15:53.226287
KT,요고 36,36000,33667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-24,2026-07-24T04:15:53.227837
KT,요고 30,38000,35667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-24,2026-07-24T04:15:53.229383
KT,요고 46,46000,43667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-24,2026-07-24T04:15:53.230930
KT,요고 34,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-24,2026-07-24T04:15:53.232473
KT,요고 69,12000,9667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-24,2026-07-24T04:15:53.234027
KT,요고 38,4000,1667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-24,2026-07-24T04:15:53.235580
KT,요고 61,192000,189667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-24,2026-07-24T04:15:53.237134
KT,요고 32,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-24,2026-07-24T04:15:53.238684
KT,요고 42,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-24,2026-07-24T04:15:53.240214
LG,너겟 65,65000,65000,0,0,0,,2026-07-24,2026-07-24T04:15:54.244309
LG,너겟 59,59000,59000,0,0,0,,2026-07-24,2026-07-24T04:15:54.244320
LG,너겟 49,49000,49000,0,0,0,,2026-07-24,2026-07-24T04:15:54.244322
