carrier,plan_name,monthly_fee,perceived_price,total_benefit,monthly_benefit,benefit_duration,benefit_detail,collected_date,crawled_at
SKT,다이렉트 플랜,76000,76000,0,0,0,,2026-06-29,2026-06-29T05:51:46.388358
SKT,5GB,38000,38000,0,0,0,,2026-06-29,2026-06-29T05:51:46.389103
SKT,다이렉트5G,69000,69000,0,0,0,,2026-06-29,2026-06-29T05:51:46.389801
SKT,5G ZEM플랜,36000,33000,36000,3000,12,"혜택 5G ZEM플랜 퍼펙트 월 36,000원",2026-06-29,2026-06-29T05:51:46.390120
KT,요고 69,384000,381667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-29,2026-06-29T05:51:47.723445
KT,요고 42,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-29,2026-06-29T05:51:47.725288
KT,요고 32,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-29,2026-06-29T05:51:47.727147
KT,요고 36,12100,9767,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-29,2026-06-29T05:51:47.728902
KT,요고 30,38000,35667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-29,2026-06-29T05:51:47.730698
KT,요고 34,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-29,2026-06-29T05:51:47.732459
KT,요고 61,192000,189667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-29,2026-06-29T05:51:47.734217
KT,요고 46,46000,43667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-29,2026-06-29T05:51:47.736004
KT,요고 40,34000,31667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-29,2026-06-29T05:51:47.737829
KT,요고 44,44000,41667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-29,2026-06-29T05:51:47.739581
KT,요고 38,4000,1667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-29,2026-06-29T05:51:47.741330
KT,요고 55,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-29,2026-06-29T05:51:47.743088
KT,요고 49,49000,46667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-29,2026-06-29T05:51:47.744854
LG,너겟 59,59000,59000,0,0,0,,2026-06-29,2026-06-29T05:51:49.188670
LG,너겟 49,49000,49000,0,0,0,,2026-06-29,2026-06-29T05:51:49.188682
LG,너겟 65,65000,65000,0,0,0,,2026-06-29,2026-06-29T05:51:49.188684
