carrier,plan_name,monthly_fee,perceived_price,total_benefit,monthly_benefit,benefit_duration,benefit_detail,collected_date,crawled_at
SKT,다이렉트 플랜,76000,76000,0,0,0,,2026-07-10,2026-07-10T04:53:12.056945
SKT,5GB,38000,38000,0,0,0,,2026-07-10,2026-07-10T04:53:12.057680
SKT,다이렉트5G,69000,69000,0,0,0,,2026-07-10,2026-07-10T04:53:12.058390
KT,요고 46,46000,43667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-10,2026-07-10T04:53:13.115032
KT,요고 49,49000,46667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-10,2026-07-10T04:53:13.117203
KT,요고 61,192000,189667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-10,2026-07-10T04:53:13.119338
KT,요고 36,36000,33667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-10,2026-07-10T04:53:13.121474
KT,요고 34,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-10,2026-07-10T04:53:13.123610
KT,요고 38,4000,1667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-10,2026-07-10T04:53:13.125741
KT,요고 30,38000,35667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-10,2026-07-10T04:53:13.127872
KT,요고 69,384000,381667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-10,2026-07-10T04:53:13.130011
KT,요고 42,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-10,2026-07-10T04:53:13.132157
KT,요고 32,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-10,2026-07-10T04:53:13.134291
KT,요고 44,44000,41667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-10,2026-07-10T04:53:13.136422
KT,요고 40,34000,31667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-10,2026-07-10T04:53:13.138570
KT,요고 55,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-10,2026-07-10T04:53:13.140711
LG,너겟 59,59000,59000,0,0,0,,2026-07-10,2026-07-10T04:53:14.312879
LG,너겟 65,65000,65000,0,0,0,,2026-07-10,2026-07-10T04:53:14.312886
LG,너겟 49,49000,49000,0,0,0,,2026-07-10,2026-07-10T04:53:14.312888
