carrier,plan_name,monthly_fee,perceived_price,total_benefit,monthly_benefit,benefit_duration,benefit_detail,collected_date,crawled_at
SKT,다이렉트 플랜,76000,76000,0,0,0,,2026-08-18,2026-08-18T02:15:34.845187
SKT,5GB,38000,38000,0,0,0,,2026-08-18,2026-08-18T02:15:34.845917
SKT,다이렉트5G,69000,69000,0,0,0,,2026-08-18,2026-08-18T02:15:34.846630
KT,요고 55,27610,23194,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-18,2026-08-18T02:15:36.190836
KT,요고 44,44000,39584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-18,2026-08-18T02:15:36.193173
KT,요고 61,192000,187584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-18,2026-08-18T02:15:36.195544
KT,요고 69,12000,7584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-18,2026-08-18T02:15:36.197845
KT,요고 49,49000,44584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-18,2026-08-18T02:15:36.200154
KT,요고 36,36000,31584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-18,2026-08-18T02:15:36.202443
KT,요고 32,27610,23194,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-18,2026-08-18T02:15:36.204729
KT,요고 38,4000,0,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-18,2026-08-18T02:15:36.207009
KT,요고 46,46000,41584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-18,2026-08-18T02:15:36.209292
KT,요고 34,27610,23194,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-18,2026-08-18T02:15:36.211574
KT,요고 30,38000,33584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-18,2026-08-18T02:15:36.213887
KT,요고 40,34000,29584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-18,2026-08-18T02:15:36.216207
KT,요고 42,27610,23194,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-18,2026-08-18T02:15:36.218509
LG,너겟 49,49000,49000,0,0,0,,2026-08-18,2026-08-18T02:15:37.405351
LG,너겟 65,65000,65000,0,0,0,,2026-08-18,2026-08-18T02:15:37.405360
LG,너겟 59,59000,59000,0,0,0,,2026-08-18,2026-08-18T02:15:37.405363
